tanggal,kategori,nama,detail,qty,harga,total
2025-10-01,Bahan Baku,Bahan baku,-,1,12878671,12878671
2025-10-04,Bahan Baku,Bahan baku,-,1,9832442,9832442
2025-10-07,Bahan Baku,Bahan baku,-,1,8306753,8306753
2025-10-10,Bahan Baku,Bahan baku,-,1,9985590,9985590
2025-10-13,Bahan Baku,Bahan baku,-,1,8862298,8862298
2025-10-16,Bahan Baku,Bahan baku,-,1,38250124,38250124
2025-10-23,Bahan Baku,Bahan baku,-,1,6282504,6282504
2025-10-25,Bahan Baku,Bahan baku,-,1,10217013,10217013
2025-10-28,Bahan Baku,Bahan baku,-,1,13349500,13349500
