tanggal,kategori,nama,detail,qty,harga,total
2025-02-01,Bahan Baku,Bahan baku,-,1,9705313,9705313
2025-02-04,Bahan Baku,Bahan baku,-,1,9110585,9110585
2025-02-07,Bahan Baku,Bahan baku,-,1,10436731,10436731
2025-02-10,Bahan Baku,Bahan baku,-,1,8650039,8650039
2025-02-13,Bahan Baku,Bahan baku,-,1,9073219,9073219
2025-02-16,Bahan Baku,Bahan baku,-,1,9494313,9494313
2025-02-19,Bahan Baku,Bahan baku,-,1,9021293,9021293
2025-02-22,Bahan Baku,Bahan baku,-,1,9770921,9770921
2025-02-25,Bahan Baku,Bahan baku,-,1,12960194,12960194
